Track Name,Artist Name,YouTube Link
Lil Boo Thang,Paul Russell,https://www.youtube.com/watch?v=5AgDZcM8In8
Before You Go,Lewis Capaldi,https://www.youtube.com/watch?v=Jtauh8GcxBY
Stay With Me,Sam Smith,https://www.youtube.com/watch?v=pB-5XG-DbAA
Memories,Maroon 5,https://www.youtube.com/watch?v=SlPhMPnQ58k
Fix You,Coldplay,https://www.youtube.com/watch?v=k4V3Mo61fJM
Hey Soul Sister,Train,https://www.youtube.com/watch?v=kVpv8-5XWOI
Story of My Life,One Direction,https://www.youtube.com/watch?v=W-TE_Ys4iwM
This Love,Maroon 5,https://www.youtube.com/watch?v=XPpTgCho5ZA
Chasing Cars,Snow Patrol,https://www.youtube.com/watch?v=GemKqzILV4w
This Town,Niall Horan,https://www.youtube.com/watch?v=ic1l36GrNOU
Dancing On My Own,Calum Scott,https://www.youtube.com/watch?v=q31tGyBJhRY
She Will Be Loved - Radio Mix,Maroon 5,https://www.youtube.com/watch?v=kW2ogFFNCmE
I Like Me Better,Lauv,https://www.youtube.com/watch?v=a7fzkqLozwA
Wrecking Ball,Miley Cyrus,https://www.youtube.com/watch?v=My2FRPA3Gf8
Complicated,Avril Lavigne,https://www.youtube.com/watch?v=5NPBIwQyPWE
The Reason,Hoobastank,https://www.youtube.com/watch?v=fV4DiAyExN0
Best Day Of My Life,American Authors,https://www.youtube.com/watch?v=Y66j_BUCBMY
Drops of Jupiter (Tell Me),Train,https://www.youtube.com/watch?v=7Xf-Lesrkuc
Try,P!nk,https://www.youtube.com/watch?v=yTCDVfMz15M
The Middle,Zedd,https://www.youtube.com/watch?v=xQzS3JnZQZM
Unconditionally,Katy Perry,https://www.youtube.com/watch?v=XjwZAa2EjKA
Scars To Your Beautiful,Alessia Cara,https://www.youtube.com/watch?v=MWASeaYuHZo
GHOST TOWN,Benson Boone,https://www.youtube.com/watch?v=prYbXj3zPfs
A Thousand Miles,Vanessa Carlton,https://www.youtube.com/watch?v=Cwkej79U3ek
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,https://www.youtube.com/watch?v=2-MBfn8XjIU
Someone To You,BANNERS,https://www.youtube.com/watch?v=XeLaiL9tk68
Bleeding Love,Leona Lewis,https://www.youtube.com/watch?v=Vzo-EL_62fQ
Arcade,Duncan Laurence,https://www.youtube.com/watch?v=Qau6mObfSGM
What About Us,P!nk,https://www.youtube.com/watch?v=ClU3fctbGls
If the World Was Ending (feat. Julia Michaels),JP Saxe,https://www.youtube.com/watch?v=1jO2wSpAoxA
Girls Just Want to Have Fun,Cyndi Lauper,https://www.youtube.com/watch?v=PIb6AZdTr-A
If I Could Turn Back Time,Cher,https://www.youtube.com/watch?v=9n3A_-HRFfc
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,https://www.youtube.com/watch?v=eH3giaIzONA
Total Eclipse of the Heart,Bonnie Tyler,https://www.youtube.com/watch?v=lcOxhH8N3Bo
Running Up That Hill (A Deal With God),Kate Bush,https://www.youtube.com/watch?v=wp43OdtAAkM
Smooth Operator - Single Version,Sade,https://www.youtube.com/watch?v=nNK54e3fM-U
"Heaven Is A Place On Earth - Promo 7"" Edit",Belinda Carlisle,https://www.youtube.com/watch?v=HoQWnN5xsvA
I Love Rock 'N Roll,Joan Jett & the Blackhearts,https://www.youtube.com/watch?v=wMsazR6Tnf8
Back In Black,AC/DC,https://www.youtube.com/watch?v=pAgnJDJN4VA
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,https://www.youtube.com/watch?v=eRhg7qPLeN8
Welcome To The Jungle,Guns N' Roses,https://www.youtube.com/watch?v=o1tj2zJ2Wvg
Everywhere - 2017 Remaster,Fleetwood Mac,https://www.youtube.com/watch?v=gsq3RCIOGEk
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,https://www.youtube.com/watch?v=3r-qDvD3F3c
You Make My Dreams (Come True),Daryl Hall & John Oates,https://www.youtube.com/watch?v=EErSKhC0CZs
Paradise City,Guns N' Roses,https://www.youtube.com/watch?v=Rbm6GXllBiw
Cheri Cheri Lady,Modern Talking,https://www.youtube.com/watch?v=eNvUS-6PTbs
Maneater,Daryl Hall & John Oates,https://www.youtube.com/watch?v=PLolag3YSYU
With Or Without You,U2,https://www.youtube.com/watch?v=ujNeHIo7oTE
Start Me Up - Remastered 2009,The Rolling Stones,https://www.youtube.com/watch?v=dW5fvqkWNTM
Wake Me Up Before You Go-Go,Wham!,https://www.youtube.com/watch?v=pIgZ7gMze7A
Lil Boo Thang,Paul Russell,https://www.youtube.com/watch?v=5AgDZcM8In8
Before You Go,Lewis Capaldi,https://www.youtube.com/watch?v=Jtauh8GcxBY
Stay With Me,Sam Smith,https://www.youtube.com/watch?v=pB-5XG-DbAA
Memories,Maroon 5,https://www.youtube.com/watch?v=SlPhMPnQ58k
Fix You,Coldplay,https://www.youtube.com/watch?v=k4V3Mo61fJM
Hey Soul Sister,Train,https://www.youtube.com/watch?v=kVpv8-5XWOI
Story of My Life,One Direction,https://www.youtube.com/watch?v=W-TE_Ys4iwM
This Love,Maroon 5,https://www.youtube.com/watch?v=XPpTgCho5ZA
Chasing Cars,Snow Patrol,https://www.youtube.com/watch?v=GemKqzILV4w
This Town,Niall Horan,https://www.youtube.com/watch?v=ic1l36GrNOU
Dancing On My Own,Calum Scott,https://www.youtube.com/watch?v=q31tGyBJhRY
She Will Be Loved - Radio Mix,Maroon 5,https://www.youtube.com/watch?v=kW2ogFFNCmE
I Like Me Better,Lauv,https://www.youtube.com/watch?v=a7fzkqLozwA
Wrecking Ball,Miley Cyrus,https://www.youtube.com/watch?v=My2FRPA3Gf8
Complicated,Avril Lavigne,https://www.youtube.com/watch?v=5NPBIwQyPWE
The Reason,Hoobastank,https://www.youtube.com/watch?v=fV4DiAyExN0
Best Day Of My Life,American Authors,https://www.youtube.com/watch?v=Y66j_BUCBMY
Drops of Jupiter (Tell Me),Train,https://www.youtube.com/watch?v=7Xf-Lesrkuc
Try,P!nk,https://www.youtube.com/watch?v=yTCDVfMz15M
The Middle,Zedd,https://www.youtube.com/watch?v=xQzS3JnZQZM
Unconditionally,Katy Perry,https://www.youtube.com/watch?v=XjwZAa2EjKA
Scars To Your Beautiful,Alessia Cara,https://www.youtube.com/watch?v=_epVgBDPBOg
GHOST TOWN,Benson Boone,https://www.youtube.com/watch?v=prYbXj3zPfs
A Thousand Miles,Vanessa Carlton,https://www.youtube.com/watch?v=Cwkej79U3ek
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,https://www.youtube.com/watch?v=2-MBfn8XjIU
Someone To You,BANNERS,https://www.youtube.com/watch?v=XeLaiL9tk68
Bleeding Love,Leona Lewis,https://www.youtube.com/watch?v=Vzo-EL_62fQ
Arcade,Duncan Laurence,https://www.youtube.com/watch?v=Qau6mObfSGM
What About Us,P!nk,https://www.youtube.com/watch?v=ClU3fctbGls
If the World Was Ending (feat. Julia Michaels),JP Saxe,https://www.youtube.com/watch?v=1jO2wSpAoxA
Girls Just Want to Have Fun,Cyndi Lauper,https://www.youtube.com/watch?v=PIb6AZdTr-A
If I Could Turn Back Time,Cher,https://www.youtube.com/watch?v=9n3A_-HRFfc
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,https://www.youtube.com/watch?v=eH3giaIzONA
Total Eclipse of the Heart,Bonnie Tyler,https://www.youtube.com/watch?v=lcOxhH8N3Bo
Running Up That Hill (A Deal With God),Kate Bush,https://www.youtube.com/watch?v=wp43OdtAAkM
Smooth Operator - Single Version,Sade,https://www.youtube.com/watch?v=nNK54e3fM-U
"Heaven Is A Place On Earth - Promo 7"" Edit,Belinda Carlisle",,https://www.youtube.com/watch?v=HoQWnN5xsvA
I Love Rock 'N Roll,Joan Jett & the Blackhearts,https://www.youtube.com/watch?v=wMsazR6Tnf8
Back In Black,AC/DC,https://www.youtube.com/watch?v=pAgnJDJN4VA
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,https://www.youtube.com/watch?v=eRhg7qPLeN8
Welcome To The Jungle,Guns N' Roses,https://www.youtube.com/watch?v=o1tj2zJ2Wvg
Everywhere - 2017 Remaster,Fleetwood Mac,https://www.youtube.com/watch?v=gsq3RCIOGEk
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,https://www.youtube.com/watch?v=3r-qDvD3F3c
You Make My Dreams (Come True),Daryl Hall & John Oates,https://www.youtube.com/watch?v=EErSKhC0CZs
Paradise City,Guns N' Roses,https://www.youtube.com/watch?v=Rbm6GXllBiw
Cheri Cheri Lady,Modern Talking,https://www.youtube.com/watch?v=eNvUS-6PTbs
Maneater,Daryl Hall & John Oates,https://www.youtube.com/watch?v=PLolag3YSYU
With Or Without You,U2,https://www.youtube.com/watch?v=ujNeHIo7oTE
Start Me Up - Remastered 2009,The Rolling Stones,https://www.youtube.com/watch?v=dW5fvqkWNTM
Wake Me Up Before You Go-Go,Wham!,https://www.youtube.com/watch?v=pIgZ7gMze7A
Nothing's Gonna Stop Us Now,Starship,https://www.youtube.com/watch?v=3wxyN3z9PL4 